"filename", "language", "HTML", "JSON", "JavaScript", "JavaScript JSX", "CSS", "XML", "Markdown", "comment", "blank", "total"
"c:\Projects\travels-management-client\src\Pages\Payment\NewPayment\styles.css", "CSS", 0, 0, 0, 0, 11, 0, 0, 1, 3, 15
"c:\Projects\travels-management-client\src\Pages\Payment\PaymentList\EditPayment.jsx", "JavaScript JSX", 0, 0, 0, 150, 0, 0, 0, 3, 13, 166
"c:\Projects\travels-management-client\src\Pages\Payment\PaymentList\PaymentList.jsx", "JavaScript JSX", 0, 0, 0, 196, 0, 0, 0, 7, 19, 222
"c:\Projects\travels-management-client\src\Pages\Payment\PaymentList\Receipt.jsx", "JavaScript JSX", 0, 0, 0, 37, 0, 0, 0, 0, 5, 42
"c:\Projects\travels-management-client\src\Pages\Payment\RefundList\RefundList.jsx", "JavaScript JSX", 0, 0, 0, 253, 0, 0, 0, 8, 26, 287
"c:\Projects\travels-management-client\src\Pages\Profile\EditProfile.jsx", "JavaScript JSX", 0, 0, 0, 144, 0, 0, 0, 13, 14, 171
"c:\Projects\travels-management-client\src\Pages\Profile\Profile.jsx", "JavaScript JSX", 0, 0, 0, 85, 0, 0, 0, 1, 7, 93
"c:\Projects\travels-management-client\src\Pages\Sales\ManageSales\EditSale.css", "CSS", 0, 0, 0, 0, 26, 0, 0, 0, 3, 29
"c:\Projects\travels-management-client\src\Pages\Sales\ManageSales\EditSales.jsx", "JavaScript JSX", 0, 0, 0, 555, 0, 0, 0, 23, 39, 617
"c:\Projects\travels-management-client\src\Pages\Sales\ManageSales\EditTest.jsx", "JavaScript JSX", 0, 0, 0, 500, 0, 0, 0, 105, 40, 645
"c:\Projects\travels-management-client\src\Pages\Sales\ManageSales\ManageSales.jsx", "JavaScript JSX", 0, 0, 0, 559, 0, 0, 0, 58, 53, 670
"c:\Projects\travels-management-client\src\Pages\Sales\ManageSales\ModalStyles.css", "CSS", 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"c:\Projects\travels-management-client\src\Pages\Sales\ManageSales\PrintModal.jsx", "JavaScript JSX", 0, 0, 0, 160, 0, 0, 0, 4, 16, 180
"c:\Projects\travels-management-client\src\Pages\Sales\ManageSales\PrintSale.jsx", "JavaScript JSX", 0, 0, 0, 26, 0, 0, 0, 0, 6, 32
"c:\Projects\travels-management-client\src\Pages\Sales\ManageSales\Printer.jsx", "JavaScript JSX", 0, 0, 0, 50, 0, 0, 0, 2, 6, 58
"c:\Projects\travels-management-client\src\Pages\Sales\ManageSales\RefundSale.jsx", "JavaScript JSX", 0, 0, 0, 175, 0, 0, 0, 18, 27, 220
"c:\Projects\travels-management-client\src\Pages\Sales\ManageSales\styles.css", "CSS", 0, 0, 0, 0, 34, 0, 0, 3, 7, 44
"c:\Projects\travels-management-client\src\Pages\Sales\NewSale\NewSale.jsx", "JavaScript JSX", 0, 0, 0, 774, 0, 0, 0, 61, 68, 903
"c:\Projects\travels-management-client\src\Pages\Sales\NewSale\hello.jsx", "JavaScript JSX", 0, 0, 0, 551, 0, 0, 0, 11, 35, 597
"c:\Projects\travels-management-client\src\Pages\Sales\ReportList\ReportList.jsx", "JavaScript JSX", 0, 0, 0, 286, 0, 0, 0, 6, 31, 323
"c:\Projects\travels-management-client\src\Pages\Users\AddUser.jsx", "JavaScript JSX", 0, 0, 0, 172, 0, 0, 0, 8, 15, 195
"c:\Projects\travels-management-client\src\Pages\Users\EditUser.jsx", "JavaScript JSX", 0, 0, 0, 149, 0, 0, 0, 11, 11, 171
"c:\Projects\travels-management-client\src\Pages\Users\Users.jsx", "JavaScript JSX", 0, 0, 0, 244, 0, 0, 0, 3, 14, 261
"c:\Projects\travels-management-client\src\Pages\Vendors\AddSupplier.jsx", "JavaScript JSX", 0, 0, 0, 136, 0, 0, 0, 3, 10, 149
"c:\Projects\travels-management-client\src\Pages\Vendors\EditSupplier.jsx", "JavaScript JSX", 0, 0, 0, 131, 0, 0, 0, 1, 8, 140
"c:\Projects\travels-management-client\src\Pages\Vendors\Vendors.jsx", "JavaScript JSX", 0, 0, 0, 205, 0, 0, 0, 1, 14, 220
"c:\Projects\travels-management-client\src\Routes\AdminRoute.jsx", "JavaScript JSX", 0, 0, 0, 32, 0, 0, 0, 0, 9, 41
"c:\Projects\travels-management-client\src\Routes\PrivateRoute.jsx", "JavaScript JSX", 0, 0, 0, 27, 0, 0, 0, 0, 7, 34
"c:\Projects\travels-management-client\src\Routes\Routes.jsx", "JavaScript JSX", 0, 0, 0, 85, 0, 0, 0, 2, 2, 89
"c:\Projects\travels-management-client\src\Shared\Footer\Footer.jsx", "JavaScript JSX", 0, 0, 0, 56, 0, 0, 0, 0, 2, 58
"c:\Projects\travels-management-client\src\Shared\Navbar\Navbar.jsx", "JavaScript JSX", 0, 0, 0, 72, 0, 0, 0, 8, 9, 89
"c:\Projects\travels-management-client\src\Shared\SideMenu\SideMenu.jsx", "JavaScript JSX", 0, 0, 0, 64, 0, 0, 0, 1, 8, 73
"c:\Projects\travels-management-client\src\assets\airline.svg", "XML", 0, 0, 0, 0, 0, 10, 0, 1, 0, 11
"c:\Projects\travels-management-client\src\assets\react.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Projects\travels-management-client\src\firebase\firebase.config.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 5, 2, 17
"c:\Projects\travels-management-client\src\index.css", "CSS", 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\Projects\travels-management-client\src\main.jsx", "JavaScript JSX", 0, 0, 0, 17, 0, 0, 0, 0, 3, 20
"c:\Projects\travels-management-client\src\providers\AuthProvider.jsx", "JavaScript JSX", 0, 0, 0, 84, 0, 0, 0, 2, 17, 103
"c:\Projects\travels-management-client\tailwind.config.js", "JavaScript", 0, 0, 31, 0, 0, 0, 0, 1, 3, 35
"c:\Projects\travels-management-client\vite.config.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 14, 8595, 89, 8469, 130, 12, 5, 449, 833, 18596
